Column1,Chinese,English
61,五香熏鱼,Spiced Smoked Fish
62,五香云豆,Spiced Kidney Beans
63,腌三文鱼,Marinated Salmon
64,盐焗鸡,Salt Baked Chicken
65,盐水虾肉,Salted Shrimp Meat
66,糟香鹅掌,Braised Goose Webs in Rice Wine Sauce
67,酿黄瓜条,Pickled Cucumber Strips
68,辣黄瓜条,Cucumber Strips with Chili Sauce
69,春芽豆腐丝,Shredded Tofu with Sprouts
70,圣女果,Cherry Tomatoes
71,水果沙拉,Fresh Fruit Salad
72,糟香毛豆,Green Soy Beans in Rice Wine Sauce
73,米醋海蜇,Jellyfish in Vinegar
74,卤猪舌,Marinated Pig Tongue
75,麻辣耳丝,Shredded Pig Ear in Chili Sauce
76,三色中卷,"Squid Rolls Stuffed with Bean, Ham and Egg Yolk"
77,蛋衣河鳗,Egg Rolls Stuffed with Eel
78,盐水鹅肉,Salted Goose Meat
79,冰心苦瓜,Bitter Melon Salad
80,五味九孔,Fresh Abalone in Spicy Sauce
81,明虾荔枝沙拉,Shrimps and Litchi Salad
82,乌龙吐珠,Sea Cucumber with Quail Eggs
83,五味牛腱,Spiced Beef Shank
84,拌八爪鱼,Marinated Octopus
85,鸡脚冻,Chicken Feet Jelly
86,香葱酥鱼,Crispy Crucian Carp in Scallion Oil
87,蒜汁鹅胗,Goose Gizzard in Garlic Sauce
88,黄花素鸡,Dried Tofu with Day Lily
89,姜汁鲜鱿,Fresh Squid in Ginger Sauce
90,桂花糯米藕,Steamed Lotus Root Stuffed with Glutinous Rice
91,卤鸭冷切,Marinated Sliced Duck
92,松田青豆,Songtian Green Beans
93,色拉九孔,Abalone Salad
94,凉拌花螺,Cold Sea Whelks with Dressing
95,素鸭,Dried Tofu
96,酱鸭,Duck in Brown Sauce
97,麻辣牛筋,Spicy Beef Tendon
98,麻辣牛展,Spicy Sliced Beef
99,红油百叶,Beef Tripe in Chili Oil
100,醉鸡,Liquor-Saturated Chicken
101,可乐芸豆,Kidney Beans in Coca-Cola
102,桂花山药,Chinese Yam with Osmanthus Sauce
103,豆豉鲫鱼,Crucian Carp with Black Bean Sauce
104,水晶鱼冻,Fish Aspic
105,烧椒皮蛋,Preserved Eggs with Chili
106,酸辣瓜条,Cucumber with Hot and Sour Sauce
107,五香大排,Spiced Pork Ribs
108,三丝木耳,Black Fungus with Cucumber and Vermicelli
109,酸辣蕨根粉,Hot and Sour Fern Root Noodles
110,小黄瓜蘸酱,Small Cucumber with Soy Bean Paste
111,拌苦菜,Mixed Bitter Vegetables
112,蕨根粉拌蛰头,Fern Root Noodles with Jellyfish
113,老醋黑木耳,Black Fungus in Vinegar
114,清香苦苣,Endive with Sauce
115,琥珀核桃,Honeyed Walnuts
116,杭州风鹅,"Air-Dried Goose, Hangzhou Style"
117,香吃茶树菇,Spicy Tea Tree Mushrooms
118,琥珀花生,Honeyed Peanuts
119,葱油鹅肝,Goose Liver with Scallion and Chili Oil
120,拌爽口海苔,Sea Moss with Sauce
121,巧拌海茸,Mixed Seaweed
122,蛋黄凉瓜,Bitter Melon with Egg Yolk
123,龙眼风味肠,Sausage Stuffed with Salty Egg
124,水晶萝卜,Sliced Turnip with Sauce
125,腊八蒜茼蒿,Crown Daisy with Pickled Garlic
126,香辣手撕茄子,Hand-Shredded Eggplant with Chili Sauce
127,酥鲫鱼,Crispy Crucian Carp
128,水晶鸭舌,Duck Tongue Aspic
129,卤水鸭舌,Marinated Duck Tongue
130,香椿鸭胗,Duck Gizzards with Chinese Toon
131,卤水鸭膀,Marinated Duck Wings
132,卤鸭胗,Marinated Duck Gizzards
133,香糟鸭卷,Duck Rolls Marinated in Rice Wine
134,当归鸭卷,Duck Rolls with Chinese Angelica
135,剁椒鸭肠,Duck Intestines with Chili
136,麻辣鸭膀丝,Shredded Spicy Duck Wings
137,盐水鸭肝,Salted Duck Liver
138,水晶鹅肝,Goose Liver Aspic
139,豉油乳鸽皇,Braised Pigeon with Black Bean Sauce
140,酥海带,Crispy Kelp
141,脆虾白菜心,Fried Shrimps with Chinese Cabbage
142,香椿豆腐,Tofu with Chinese Toon
143,拌香椿苗,Chinese Toon with Sauce
144,糖醋白菜墩,Sweet and Sour Chinese Cabbage
145,姜汁蛰皮,Jellyfish in Ginger Sauce
146,韭菜鲜桃仁,Fresh Walnuts with Chinese Chives
147,花生太湖银鱼,Taihu Silver Fish with Peanuts
148,生腌百合南瓜,Marinated Lily Bulbs and Pumpkin
149,酱鸭翅,Duck Wings in Brown Sauce
150,萝卜苗,Turnip Sprouts
151,八宝菠菜,Spinach with Eight Delicacies
152,竹笋青豆,Bamboo Shoots and Green Peas
153,凉拌苦瓜,Bitter Melon in Sauce
154,芥末木耳,Black Fungus with Mustard Sauce
155,炸花生米,Deep-Fried Peanuts
156,青椒花生米,Deep-Fried Peanuts with Green Pepper
157,小鱼花生,Fried Silver Fish with Peanuts
158,德州扒鸡,"Braised Chicken, Dezhou Style"
159,芥末鸭掌,Duck Webs with Mustard
160,清蒸火腿鸡片,Steamed Sliced Chicken with Ham
161,熏马哈鱼,Smoked Salmon
162,三文鱼刺身,Salmon Sashimi
163,家常皮冻,Pork Skin Aspic
164,大拉皮,Tossed Mung Clear Noodles in Sauce
165,蒜泥白肉,Sliced Boiled Pork with Garlic Sauce
166,鱼露白肉,Sliced Boiled Pork in Anchovy Sauce
167,酱猪肘,Pig Knuckle in Brown Sauce
168,酱牛肉,Beef in Brown Sauce
169,红油牛筋,Beef Tendon in Chili Sauce
170,卤牛腩,Marinated Beef Brisket in Spiced Sauce
171,泡椒鸭丝,Shredded Duck with Pickled Peppers
172,拌茄泥,Mashed Eggplant with Garlic
173,糖拌西红柿,Tomato Slices with Sugar
174,糖蒜,Pickled Sweet Garlic
175,腌雪里蕻,Pickled Potherb Mustard
176,凉拌黄瓜,Cucumber in Sauce
177,白菜豆腐焖酥肉,Braised Pork Cubes with Tofu and Chinese Cabbage
178,鲍鱼红烧肉,Red-Cooked Pork with Abalone
179,鲍汁扣东坡肉,Braised Dongpo Pork with Abalone Sauce
180,百叶结烧肉,Stewed Pork Cubes and Tofu Skin in Brown Sauce
181,碧绿叉烧肥肠,Steamed Rice Rolls with BBQ Pork Intestines and Vegetables
182,潮式椒酱肉,"Fried Pork with Chili Soy Sauce,Chaozhou Style"
183,潮式凉瓜排骨,"Spare Ribs with Bitter Melon,Chaozhou Style"
184,豉油皇咸肉,Steamed Preserved Pork in Black Bean Sauce
185,川味小炒,"Shredded Pork with Vegetables, Sichuan Style"
186,地瓜烧肉,Stewed Diced Pork and Sweet Potatoes
187,东坡方肉,Dongpo Pork
188,冬菜扣肉,Braised Pork with Preserved Vegetables
189,方竹笋炖肉,Braised Pork with Bamboo Shoots
190,干煸小猪腰,Fried Pig Kidney with Onion
191,干豆角回锅肉,Sautéed Spicy Pork with Dried Beans
192,干锅排骨鸡,Griddle Cooked Spare Ribs and Chicken
193,咕噜肉,Gulaorou (Sweet and Sour Pork)
194,怪味猪手,Special Flavored Pig Feet
195,黑椒焗猪手,Baked Pig Feet with Black Pepper
196,红烧狮子头,Stewed Pork Ball in Brown Sauce
197,脆皮乳猪,Roasted Crispy Suckling Pig
198,回锅肉片,Sautéed Sliced Pork with Pepper and Chili
199,木耳肉片,Sautéed Sliced Pork with Black Fungus and Eggs
200,煎猪柳,Pan-Fried Pork Fillet
201,酱烧排骨,Braised Spare Ribs in Brown Sauce
202,酱猪手,Braised Pig Feet in Brown Sauce
203,椒盐肉排,Spare Ribs with Spiced Salt
204,椒盐炸排条,Deep-Fried Spare Ribs with Spiced Salt
205,金瓜东坡肉,Braised Dongpo Pork with Melon
206,京酱肉丝,Sautéed Shredded Pork in Sweet Bean Sauce
207,焗肉排,Baked Spare Ribs
208,咖喱肉松煸大豆芽,Sautéed Minced Pork with Bean Sprouts in Curry Sauce
209,腊八豆炒腊肉,Sautéed Preserved Pork with Fermented Soy Beans
210,腊肉炒香干,Sautéed Preserved Pork with Dried Tofu Slices
211,榄菜肉菘炒四季豆,Sautéed Green Beans with Minced Pork and Vegetable
212,萝卜干腊肉,Sautéed Preserved Pork with Pickled Turnip
213,毛家红烧肉,Braised Pork，Mao’s Family Style (One of Chairman Mao’s Favorite Dishes）
214,米粉扣肉,Steamed Sliced Pork Belly with Rice
215,蜜汁火方,Steamed Ham in Honey Sauce
216,蜜汁烧小肉排,Stewed Spare Ribs in Honey Sauce
217,木须肉,"Moo Shu Pork (Sautéed Sliced Pork, Eggs and Black Fungus)"
218,南瓜香芋蒸排骨,Steamed Spare Ribs with Pumpkin and Taro
219,砂锅海带炖排骨,Stewed Spare Ribs and Kelp in Casserole
220,砂锅排骨土豆,Stewed Spare Ribs and Potatoes in Casserole
221,什菌炒红烧肉,Sautéed Red-Cooked Pork with Assorted Mushrooms
222,什菌炒双脆,Sautéed Chicken Gizzard and Pork Tripe with Assorted Mushrooms
223,手抓琵琶骨,Braised Spare Ribs
224,蒜香椒盐肉排,Deep-Fried Spare Ribs with Minced Garlic and Spiced Salt
225,笋干焖腩肉,Braised Pork Tenderloin with Dried Bamboo Shoots
226,台式蛋黄肉,"Steamed Pork with Salted Egg Yolk, Taiwan Style"
227,碳烧菠萝骨,BBQ Spare Ribs with Pineapple
228,碳烧排骨,BBQ Spare Ribs
229,糖醋排骨,Sweet and Sour Spare Ribs
230,铁板咖喱酱烧骨,Spare Ribs with Curry Sauce Served on a Sizzling Iron Plate
231,铁板什锦肉扒,Assorted Meats Served on a Sizzling Iron Plate
232,无锡排骨,"Fried Spare Ribs, Wuxi Style"
233,鲜果香槟骨,Stewed Spare Ribs with Fresh Fruits
234,咸鱼蒸肉饼,Steamed Minced Pork and Salted Fish Cutlet
235,香蜜橙花骨,Sautéed Spare Ribs in Orange Sauce
236,湘味回锅肉,"Sautéed Pork with Pepper, Hunan Style"
237,蟹汤红焖狮子头,Steamed Pork Balls with Crab Soup
238,雪菜炒肉丝,Sautéed Shredded Pork with Preserved Vegetable
239,油面筋酿肉,Wheat Gluten with Pork Stuffing
240,鱼香肉丝,Yu-Shiang Shredded Pork (Sautéed with Spicy Garlic Sauce)
241,孜然寸骨,Sautéed Spare Ribs with Cumin
242,走油蹄膀,Braised Pig Knuckle in Brown Sauce
243,火爆腰花,Sautéed Pig Kidney
244,腊肉炒香芹,Sautéed Preserved Pork with Celery
245,梅樱小炒皇,Sautéed Squid with Shredded Pork and Leek
246,糖醋里脊/酸甜肉,Sautéed Sweet and Sour Pork Tenderloin
247,鱼香里脊丝,Yu-Shiang Shredded Pork (Sautéed in Spicy Garlic Sauce)
248,珍菌滑炒肉,Sautéed Pork with Mushrooms
249,什烩肉,Stewed Pork with Assorted Vegetables
250,芥兰肉,Sautéed Pork with Chinese Broccoli
251,子姜肉,Sautéed Shredded Pork with Ginger Shoots
252,辣子肉,Sautéed Pork in Hot Pepper Sauce
253,咖喱肉,Curry Pork
254,罗汉肚,Pork Tripe Stuffed with Meat
255,水晶肘,Stewed Pig Knuckle
256,九转大肠,Braised Intestines in Brown Sauce
257,锅烧肘子配饼,Deep-Fried Pig Knuckle Served with Pancake
258,两吃干炸丸子,Deep-Fried Meat Balls Served with Choice of Sauces
259,腐乳猪蹄,Stewed Pig Feet with Preserved Tofu
260,豆豉猪蹄,Stewed Pig Feet with Black Bean Sauce
261,木耳过油肉,Sautéed Boiled Pork with Black Fungus
262,海参过油肉,Sautéed Boiled Pork with Sea Cucumber
263,蒜茸腰片,Sautéed Pig Kidney with Mashed Garlic
264,红扒肘子,Braised Pig Knuckle in Brown Sauce
265,芫爆里脊丝,Sautéed Shredded Pork Tenderloin with Coriander
266,酱爆里脊丝配饼,Fried Shredded Pork Tenderloin in Soy Bean Paste Served with Pancake
267,溜丸子,Sautéed Pork Balls with Brown Sauce
268,红汤丸子,Pork Balls in Tomato Soup
269,烩蒜香肚丝,Braised Shredded Pork Tripe with Mashed Garlic
270,四喜丸子,Braised Pork Balls in Gravy Sauce
271,清炸里脊,Deep-Fried Pork Tenderloin
272,软炸里脊,Soft-Fried Pork Tenderloin
273,尖椒里脊丝,Fried Shredded Pork Tenderloin with Hot Pepper
274,滑溜里脊片,Stir-Fried Sliced Pork Tenderloin
275,银芽肉丝,Sautéed Shredded Pork with Bean Sprouts
276,蒜香烩肥肠,Braised Pork Intestines with Mashed Garlic
277,尖椒炒肥肠,Sautéed Pork Intestines with Hot Pepper
278,溜肚块,Sautéed Sliced Pork Tripe
279,香辣肚块,Sautéed Sliced Pork Tripe with Chili Sauce
280,芫爆肚丝,Sautéed Sliced Pork Tripe with Coriander
281,软溜肥肠,Quick-Fried Pork Intestines with Brown Sauce
282,芽菜回锅肉,Sautéed Sliced Pork with Scallion and Preserved Vegetable
283,泡萝卜炒肉丝,Sautéed Shredded Pork with Pickled Turnip
284,米粉排骨,Steamed Spare Ribs with Rice
285,芽菜扣肉,Steamed Pork Slices with Preserved Vegetable
286,东坡肘子,Dongpo Pig Knuckle
287,川式红烧肉,Braised Pork，Sichuan Style
288,米粉肉,Steamed Pork with Rice
289,夹沙肉,Steamed Pork Slices with Red Bean Paste
290,青豌豆肉丁,Sautéed Diced Pork with Green Peas
291,蚂蚁上树,Sautéed Vermicelli with Spicy Minced Pork
292,芹菜肉丝,Sautéed Shredded Pork with Celery
293,青椒肉丝,Sautéed Shredded Pork with Green Pepper
294,扁豆肉丝,Sautéed Shredded Pork and Green Beans
295,冬笋炒肉丝,Sautéed Shredded Pork with Bamboo Shoots
296,炸肉茄合,Deep-Fried Eggplant with Pork Stuffing
297,脆皮三丝卷,"Crispy Rolls (with Shreded Pork, Sea Cucumber and Bamboo Shoots)"
298,烤乳猪,Roasted Suckling Pig
299,红烧蹄筋,Braised Pig Tendon in Brown Sauce
300,清蒸猪脑,Steamed Pig Brains
301,蛋煎猪脑,Scrambled Eggs with Pig Brains
302,菜远炒排骨,Sautéed Spare Ribs with Green Vegetable
303,椒盐排骨,Fried Spare Ribs with Spiced Salt
304,芋头蒸排骨,Steamed Spare Ribs with Taro
305,蝴蝶骨,Braised Spare Ribs
306,无骨排,BBQ Boneless Spare Ribs
307,辣白菜炒五花肉,Sautéed Pork Belly with Cabbage in Chili Sauce
308,酒醉排骨,Spare Ribs in Wine Sauce
309,香辣猪扒,Hot and Spicy Pork Chops
310,云腿芥菜胆,Sautéed Chinese Broccoli with Ham
311,板栗红烧肉,Braised Pork with Chestnuts
312,小炒脆骨,Sautéed Gristles
313,酸豆角肉沫,Sautéed Pickled Beans with Minced Pork
314,五花肉炖萝卜皮,Braised Pork Belly with Turnip Peel
315,腊肉红菜苔,Sautéed Preserved Pork with Red Vegetables
316,竹筒腊肉,Steamed Preserved Pork Steamed in Bamboo Tube
317,盐煎肉,Fried Pork Slices with Salted Pepper
318,猪肉炖粉条,Braised Pork with Vermicelli
319,芸豆焖猪尾,Braised Pigtails with Green Beans
320,干豇豆炖猪蹄,Braised Pig Feet with Dried Cowpeas
321,豉汁蒸排骨,Steamed Spare Ribs in Black Bean Sauce
322,蛋黄狮子头,Stewed Meat Ball with Egg Yolk
323,温拌腰片,Spicy Pig Kidney
324,XO酱炒牛柳条,Sautéed Beef Fillet in XO Sauce
325,爆炒牛肋骨,Sautéed Beef Ribs
326,彩椒牛柳,Sautéed Beef Fillet with Bell Peppers
327,白灼肥牛,Boiled Beef
328,菜胆蚝油牛肉,Sautéed Sliced Beef and Green Vegetable in Oyster Sauce
329,菜心扒牛肉,Grilled Beef with Green Vegetable
330,川北牛尾,"Braised Oxtail in Chili Sauce, Sichuan Style"
331,川汁牛柳,"Sautéed Beef Fillet in Chili Sauce, Sichuan Style"
332,葱爆肥牛,Sautéed Beef with Scallion
333,番茄炖牛腩,Stewed Beef Brisket with Tomato
334,干煸牛肉丝,Sautéed Shredded Beef with Chili Sauce
335,干锅黄牛肉,Griddle Cooked Beef and Mushrooms
336,罐焖牛肉,Stewed Beef in Casserole
337,锅仔辣汁煮牛筋丸,Stewed Beef Balls with Chili Sauce in Casserole
338,锅仔萝卜牛腩,Stewed Beef Brisket with Radish in Casserole
339,杭椒牛柳,Sautéed Beef Fillet with Hot Green Pepper
340,蚝皇滑牛肉,Sautéed Sliced Beef in Oyster Sauce
341,黑椒牛肋骨,Pan-Fried Beef Ribs with Black Pepper
342,黑椒牛柳,Sautéed Beef Fillet with Black Pepper
343,黑椒牛柳粒,Sautéed Diced Beef Fillet with Black Pepper
344,黑椒牛柳条,Sautéed Beef Fillet with Black Pepper
345,黑椒牛排,Pan-Fried Beef Steak with Black Pepper
346,红酒烩牛尾,Braised Oxtail in Red Wine
347,胡萝卜炖牛肉,Stewed Beef with Carrots
348,姜葱爆牛肉,Sautéed Sliced Beef with Ginger and Onion
349,芥兰扒牛柳,Sautéed Beef Fillet with Chinese Broccoli
350,金蒜煎牛籽粒,Pan-Fried Diced Beef with Garlic
351,牛腩煲,Stewed Beef Brisket in Casserole
352,清汤牛丸腩,Stewed Beef Brisket and Beef Balls with Turnip
353,山药牛肉片,Sautéed Sliced Beef with Yam
354,石烹肥牛,Beef with Chili Grilled on Stone Plate
355,时菜炒牛肉,Sautéed Beef with Seasonal Vegetable
356,水煮牛肉,Sliced Beef in Hot Chili Oil
357,酥皮牛柳,Crispy Beef Fillet
358,铁板串烧牛肉,Beef Kebabs Served on a Sizzling Iron Plate
359,铁板木瓜牛仔骨,Calf Ribs with Papaya Served on a Sizzling Iron Plate
360,铁板牛肉,Beef Steak Served on a Sizzling Iron Plate
361,土豆炒牛柳条,Sautéed Beef Fillet with Potatoes
362,豌豆辣牛肉,Sautéed Beef and Green Peas in Spicy Sauce
363,鲜菇炒牛肉,Sautéed Beef with Fresh Mushrooms
364,鲜椒牛柳,Sautéed Beef Fillet with Bell Peppers
365,豉汁牛仔骨,Steamed Beef Ribs in Black Bean Sauce
366,香芋黑椒炒牛柳条,Sautéed Beef with Black Pepper and Taro
367,香芋烩牛肉,Braised Beef with Taro
368,小炒腊牛肉,Sautéed Preserved Beef with Leek and Pepper
369,小笋烧牛肉,Braised Beef with Bamboo Shoots
370,洋葱牛柳丝,Sautéed Shredded Beef with Onion
371,腰果牛肉粒,Sautéed Diced Beef with Cashew Nuts
372,中式牛柳,"Beef Fillet with Tomato Sauce, Chinese Style"
373,中式牛排,"Beef Steak with Tomato Sauce, Chinese Style"
374,孜然烤牛肉,Grilled Beef with Cumin
375,孜然辣汁焖牛腩,Braised Beef Brisket with Cumin and Chili Sauce
376,家乡小炒肉,"Sautéed Beef Fillet, Country Style"
377,青豆牛肉粒,Sautéed Diced Beef with Green Beans
378,豉油牛肉,Steamed Beef in Black Bean Sauce
379,什菜牛肉,Sautéed Beef with Assorted Vegetables
380,鱼香牛肉,Yu-Shiang Beef (Sautéed with Spicy Garlic Sauce)
381,芥兰牛肉,Sautéed Beef with Chinese Broccoli
382,雪豆牛肉,Sautéed Beef with Snow Peas
383,青椒牛肉,Sautéed Beef with Green Pepper
384,陈皮牛肉,Tangerine-Flavored Beef
385,干烧牛肉,"Dry-Braised Beef, Sichuan Style"
386,湖南牛肉,"Beef, Hunan Style"
387,子姜牛肉,Sautéed Beef with Ginger Shoots
388,芝麻牛肉,Sautéed Beef with Sesame
389,辣子牛肉,Sautéed Beef in Hot Pepper Sauce
390,什锦扒牛肉,Sautéed Beef Tenderloin with Assorted Vegetables
391,红烧牛蹄筋,Braised Beef Tendon in Brown Sauce
392,三彩牛肉丝,Sautéed Shreded Beef with Vegetables
393,西兰花牛柳,Sautéed Beef Fillet with Broccoli
394,铁锅牛柳,Beef Fillet Braised in Iron wok
395,白灵菇牛柳,Sautéed Beef Fillet with Mushrooms
396,芦笋牛柳,Sautéed Beef Fillet with Green Asparagus
397,豆豉牛柳,Braised Beef Fillet in Black Bean Sauce
398,红油牛头,Ox Head with Hot Chili Oil
399,麻辣牛肚,Spicy Beef Tripe
400,京葱山珍爆牛柳,Braised Beef Fillet with Scallion
401,阿香婆石头烤肉,BBQ Beef with Spicy Sauce
402,菜远炒牛肉,Sautéed Beef with Greens
403,凉瓜炒牛肉,Sautéed Beef with Bitter Melon
404,干煸牛柳丝,Sautéed Shredded Beef
405,柠檬牛肉,Sautéed Beef with Lemon
406,榨菜牛肉,Sautéed Beef with Pickled Vegetable
407,蒙古牛肉,Sautéed Mongolian Beef
408,椒盐牛仔骨,Sautéed Calf Ribs with Spiced Salt
409,辣白菜炒牛肉,Sautéed Beef with Cabbage in Chili Sauce
410,荔枝炒牛肉,Sautéed Beef with Litchi
411,野山椒牛肉丝,Sautéed Shredded Beef with Wild Pepper
412,尖椒香芹牛肉丝,Sautéed Shredded Beef with Hot Pepper and Celery
413,堂煎贵族牛肉（黑椒汁、香草汁）,"Pan-Fried Superior Steak ( with black pepper sauce, vanilla sauce)"
414,香煎纽西兰牛仔骨,Pan-Fried New Zealand Veal Chops
415,沾水牛肉,Boiled Beef
416,牛肉炖土豆,Braised Beef with Potatoes
417,清蛋牛肉,Fried Beef with Scrambled Eggs
418,米粉牛肉,Steamed Beef with Rice
419,扣碗牛肉,Steamed Beef in Soy Sauce
420,香辣牛肉,Sautéed Beef with Chili Sauce
421,咖喱蒸牛肚,Steamed Beef Tripe with Curry
422,酸辣蹄筋,Hot and Sour Beef Tendon
423,家常烧蹄筋,"Braised Beef Tendon, Home Style"
424,爽口碧绿百叶,Tasty and Refreshing Beef Tripe
425,芫爆散丹,Sautéed Beef Tripe with Coriander
426,葱爆羊肉,Sautéed Sliced Lamb with Scallion
427,大蒜羊仔片,Sautéed Sliced Lamb with Garlic
428,红焖羊排,Braised Lamb Chops with Carrots
429,葱煸羊腩,Sautéed Diced Lamb with Scallion
430,烤羊里脊,Roast Lamb Tenderloin
431,烤羊腿,Roast Lamb Leg
432,卤酥羊腿,Stewed Lamb Leg
433,小炒黑山羊,Sautéed Sliced Lamb with Pepper and Parsley
434,支竹羊肉煲,Lamb and Tofu Skin in Casserole
435,纸包风味羊排,Fried Lamb Chops Wrapped in Paper
436,干羊肉野山菌,Dried Lamb with Truffles
437,手扒羊排,Grilled Lamb Chops
438,烤羔羊,Roasted Lamb
439,蒙古手抓肉,"Boiled Lamb, Mongolian Style"
440,涮羊肉,"Hot Pot, Mongolian Style"
441,红烧羊肉,Braised Lamb in Brown Sauce
442,红焖羊肉,Stewed Lamb in Brown Sauce
443,清炖羊肉,Stewed Lamb
444,回锅羊肉,Sautéed Lamb
445,炒羊肚,Sautéed Lamb Tripe
446,烤全羊,Roasted Whole Lamb
447,孜然羊肉,Fried Lamb with Cumin
448,羊蝎子,Lamb Spine Hot Pot
449,巴蜀小炒鸡,Sautéed Chicken with Hot and Green Pepper
450,木须鸡,"Moo Shu Chicken (Sautéed Sliced Chicken, Eggs and Black Fungus)"
451,扒鸡腿,Grilled Chicken Legs
452,扒芥香鸡胸,Grilled Mustard Flavored Chicken Breast
453,白椒炒鸡胗,Sautéed Chicken Gizzards with Pepper
454,板栗焖仔鸡,Braised Chicken with Chestnuts
455,川味红汤鸡,"Braised Chicken in Hot Spicy Sauce, Sichuan Style"
456,脆皮鸡,Crispy Chicken
457,大千鸡片,Sautéed Sliced Chicken in Light Chili Sauce
458,大煮干丝,Braised Shredded Chicken with Ham and Dried Tofu
459,当红炸子鸡,Deep-Fried Chicken with Chili Pepper
460,翡翠鲍脯麒麟鸡,Braised Chicken with Sliced Abalone and Ham
461,双冬辣鸡球,Sautéed Chicken Meat Balls with Mushrooms and Bamboo Shoots
462,芙蓉鸡片,Sautéed Sliced Chicken in Egg White
463,干葱豆豉鸡煲,Stewed Chicken in Scallion and Black Bean Sauce In Casserole
464,干锅鸡,Sautéed Chicken with Pepper in Iron Wok
465,干锅鸡胗,Sautéed Chicken Gizzards in Iron Wok
466,宫保鸡丁,Kung Pao Chicken
467,枸杞浓汁烩凤筋,Stewed Chicken Tendon with Chinese Wolfberry
468,花旗参炖竹丝鸡,Braised Chicken with Ginseng
469,鸡茸豆花,Braised Minced Chicken with Tofu
470,姜葱霸皇鸡,Pan-Fried Chicken with Ginger and Scallion
471,金针云耳蒸鸡,Steamed Chicken with Lily Flowers and Fungus
472,可乐凤中翼,Pan-Fried Chicken Wings in Coca-Cola Sauce
473,鸿运蒸凤爪,Steamed Chicken Feet
474,客家盐焗鸡,"Salt Baked Chicken, Hakka Style"
475,莲藕辣香鸡球,Sautéed Spicy Chicken Meat Balls with Lotus Roots
476,罗定豆豉鸡,Braised Chicken in Black Bean Sauce
477,南乳碎炸鸡,Fried Chicken with Fermented Tofu
478,啤酒鸡,Stewed Chicken in Beer Sauce
479,飘香手撕鸡,Hand-Shredded Chicken
