ID,Item Code,Dish,菜品,Description,Price
76,V11,Potatoes with Green Chili Pepper,尖椒土豆丝,Stir-fried shredded potatoes with green chili pepper,10.95
77,V12,Home Style Tofu,家常豆腐,Home-style tofu,10.95
78,V13,Braised Tofu in Hot Chili Oil,香辣豆腐,Braised tofu in hot chili oil,10.95
79,V14,Mapo Tofu,麻婆豆腐,Tofu in spicy chili and bean-based sauce,10.95
80,V15,Sauteed Eggplant with Spicy Sauce,干烧茄子,Eggplant on the top with spicy sauce,10.95
81,V16,Braised Eggplant in Bean Paste,醬燒茄子,Braised eggplant in bean paste,11.95
82,V17,Eggplant in Yu xiang Sauce,魚香茄子,Eggplant in spicy garlic & ginger sauce,11.95
83,SP1,Tomato and Egg Drop Soup,蕃茄蛋花汤,Tomato & egg drop soup,6.95
84,SP2,Vegetable & Tofu Soup,蔬菜豆腐汤,Vegetable & tofu soup,6.95
85,SP3,Fish with Pickled Vegetable Soup,酸菜魚片汤,Fish fillets with pickled mustard-green soup,12.95
86,SP4,West Lake Style Beef Soup,西湖牛肉羹,Minced beef soup with egg white,8.95
87,SP5,Hot and Sour Soup,酸辣烫,"Bamboo shoots, tofu, mushrooms",6.95
88,SP6,Seafood and Meat in Casserole,什锦砂鍋,Assorted seafood & meat in casserole,19.95
89,R1,House Special Fried Rice,扬州炒饭,"""Yangzhou"" style with ham and shrimp fried rice",10.95
90,R2,Chef's Combo Fried Rice,什锦炒饭,Chef's combo fried rice,10.95
91,R3,Fried Rice (Assorted),各式炒饭,"Beef, Pork, Chicken or Vegetable",8.95
92,R4,Dan Dan Noodles,担担面,"Chili oil, Sichuan pepper, pork, and scallions served over noodles",8.95
93,R5,Beef Noodles Soup,牛肉面,"Stewed beef, broth, vegetable and Chinese noodles",9.95
94,R6,Rice noodles with Pork Soup,酸菜肉丝米粉,"Shredded pork, pickled vege and pickled pepper with rice noodles",9.95
95,R7,Noodles with Pork & Pickled soup,雪菜肉丝面,"Shredded pork, pickled mustard-green and Chinese noodles",9.95
96,R8,Lo Mein Noodle (Assorted),各式撈面,"Beef, Pork, Chicken or Vegetable",8.95
97,R9,Pan Fried Noodles (Seafood),海鮮兩面黃,Pan-fried noodles (assorted seafood and chicken white meat),14.95
98,R10,Stir Fried Rice Stick with Steak,干炒牛河,Stir-fried rice noodles with flank steak,12.95
99,R11,Stir-Fried Rice Noodles (Assorted),各式炒米粉,"Beef, Pork, Chicken or Vegetable",8.95
100,D1,Water,水,,0
101,D1,Coke,可乐,"Coke,Diet coke, Fonta orange, Sprite, Pibb xtra, Pink lemonade",2.5
102,D2,Hot Tea,热茶,Hot Tea,2.5
103,D3,Ice Tea,冰茶,"Unsweet ice tea, sweet ice tea",2.5
104,D5,Tsingtao,,China,5
105,D6,Heineken,,Netherlands,5
106,D7,Corona Extra,,Mexico,5
107,D8,Sapporo,,Japan,7
108,D9,Bud Light,,,3.5
109,D10,Coors Light,,,3.5
110,D11,Miller Light,,,3.5
111,D12,Budweiser,,,3.5
112,D13,Warm Sake,,"9.95/glass, 29.95/bottle",9.95
113,D14,Cold sake,,,14.95
114,D15,house wine,,"Chardonnay, white Zinfandel, merlot, Cabernet",5
115,D16,Kikkoman Plum wine,,,5.5
116,D17,Sweet Riesling,,,6.95
117,D18,William Hill Chardonnay,,,6.95
118,D19,Pinot Grigio,,,6.95
